ProductGroupID,GroupName,GroupDescription,ParentGroupID,Category,CreatedAt,UpdatedAt,IsActive,DisplayOrder,SEOKeywords,SEOTitle,SEODescription
114,"Smart Cities","AI-powered technologies for smart city infrastructure and urban management.",NULL,"Urban Planning","2024-06-21 08:00:00","2024-06-21 08:00:00",1,26,"smart cities, AI urban infrastructure, urban management","AI-powered Smart Cities - Build Smarter Communities","Build smarter communities with our AI-powered technologies for smart city infrastructure and urban management."
115,"Fashion Tech","AI-driven technologies for fashion and personal style enhancements.",NULL,"Fashion","2024-06-21 08:00:00","2024-06-21 08:00:00",1,27,"fashion tech, AI fashion devices, personalized style","AI-driven Fashion Tech - Redefine Your Style","Redefine your style with our AI-driven technologies for personalized fashion and style enhancements."
116,"Medical Devices","AI-powered medical devices for healthcare diagnostics and patient care.",NULL,"Healthcare","2024-06-21 08:00:00","2024-06-21 08:00:00",1,28,"medical devices, AI healthcare technologies, diagnostic devices","AI-powered Medical Devices - Enhance Healthcare","Enhance healthcare with our AI-powered medical devices for diagnostics and patient care."
117,"Smart Retail","AI-driven technologies for retail analytics and customer engagement.",NULL,"Retail","2024-06-21 08:00:00","2024-06-21 08:00:00",1,29,"smart retail, AI retail analytics, customer engagement","AI-driven Smart Retail - Transform Your Business","Transform your retail business with our AI-driven technologies for retail analytics and customer engagement."
118,"Financial Services","AI-powered solutions for financial services and banking innovations.",NULL,"Finance","2024-06-21 08:00:00","2024-06-21 08:00:00",1,30,"financial services, AI banking solutions, financial innovations","AI-powered Financial Services - Innovate Finance","Innovate finance with our AI-powered solutions for financial services and banking innovations."
119,"Cybersecurity","AI-driven cybersecurity solutions for threat detection and protection.",NULL,"Cybersecurity","2024-06-21 08:00:00","2024-06-21 08:00:00",1,31,"cybersecurity, AI security solutions, threat detection","AI-driven Cybersecurity - Protect Your Data","Protect your data with our AI-driven cybersecurity solutions for threat detection and protection."
120,"Smart Logistics","AI-powered logistics solutions for supply chain optimization and efficiency.",NULL,"Logistics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,32,"smart logistics, AI supply chain solutions, logistics optimization","AI-powered Smart Logistics - Optimize Supply Chains","Optimize supply chains with our AI-powered logistics solutions for supply chain optimization and efficiency."
121,"Telecommunications","AI-enhanced solutions for telecommunications and network management.",NULL,"Telecom","2024-06-21 08:00:00","2024-06-21 08:00:00",1,33,"telecommunications, AI telecom solutions, network management","AI-enhanced Telecommunications - Manage Networks Efficiently","Manage networks efficiently with our AI-enhanced solutions for telecommunications and network management."
122,"E-commerce","AI-powered solutions for e-commerce platforms and online retail.",NULL,"E-commerce","2024-06-21 08:00:00","2024-06-21 08:00:00",1,34,"e-commerce, AI e-commerce solutions, online retail","AI-powered E-commerce Solutions - Boost Sales Online","Boost online sales with our AI-powered solutions for e-commerce platforms and online retail."
123,"Health Tech","AI-driven technologies for health tech innovations and medical advancements.",NULL,"Healthcare","2024-06-21 08:00:00","2024-06-21 08:00:00",1,35,"health tech, AI health innovations, medical technologies","AI-driven Health Tech - Innovate Medical Care","Innovate medical care with our AI-driven technologies for health tech innovations and medical advancements."
124,"Education Tech","AI-powered technologies for educational advancements and learning solutions.",NULL,"Education","2024-06-21 08:00:00","2024-06-21 08:00:00",1,36,"education tech, AI learning solutions, educational innovations","AI-powered Education Tech - Transform Learning","Transform learning experiences with our AI-powered technologies for educational advancements and learning solutions."
125,"Automotive Tech","AI-driven technologies for automotive innovations and smart vehicles.",NULL,"Automotive","2024-06-21 08:00:00","2024-06-21 08:00:00",1,37,"automotive tech, AI automotive innovations, smart vehicles","AI-driven Automotive Tech - Innovate Your Drive","Innovate your drive with our AI-driven technologies for automotive innovations and smart vehicles."
126,"Energy Tech","AI-powered technologies for energy efficiency and renewable energy solutions.",NULL,"Energy","2024-06-21 08:00:00","2024-06-21 08:00:00",1,38,"energy tech, AI energy solutions, renewable energy technologies","AI-powered Energy Tech - Enhance Energy Efficiency","Enhance energy efficiency with our AI-powered technologies for energy tech innovations and renewable energy solutions."
127,"Travel Tech","AI-enhanced technologies for travel and hospitality solutions.",NULL,"Travel","2024-06-21 08:00:00","2024-06-21 08:00:00",1,39,"travel tech, AI travel solutions, hospitality innovations","AI-enhanced Travel Tech - Explore New Destinations","Explore new destinations with our AI-enhanced technologies for travel and hospitality solutions."
128,"Media Tech","AI-powered technologies for media and entertainment experiences.",NULL,"Media","2024-06-21 08:00:00","2024-06-21 08:00:00",1,40,"media tech, AI media solutions, entertainment innovations","AI-powered Media Tech - Transform Entertainment","Transform entertainment experiences with our AI-powered technologies for media and entertainment."
129,"Insurance Tech","AI-driven technologies for insurance services and risk management solutions.",NULL,"Insurance","2024-06-21 08:00:00","2024-06-21 08:00:00",1,41,"insurance tech, AI insurance solutions, risk management","AI-driven Insurance Tech - Manage Risks Effectively","Manage risks effectively with our AI-driven technologies for insurance services and risk management solutions."
130,"Supply Chain Tech","AI-powered technologies for supply chain management and logistics solutions.",NULL,"Logistics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,42,"supply chain tech, AI supply chain solutions, logistics management","AI-powered Supply Chain Tech - Streamline Logistics","Streamline logistics with our AI-powered technologies for supply chain management and logistics solutions."
131,"AI Consulting Services","AI consulting services for businesses and enterprises.",NULL,"Services","2024-06-21 08:00:00","2024-06-21 08:00:00",1,43,"AI consulting services, business consulting, enterprise AI solutions","AI Consulting Services - Enhance Business Strategy","Enhance business strategy with our AI consulting services for businesses and enterprises."
132,"Smart Home Devices","AI-powered devices for smart home automation and control.",NULL,"Electronics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,44,"smart home devices, AI home automation, smart home solutions","AI-powered Smart Home Devices - Control Your Home","Control your home with ease using our AI-powered devices for smart home automation and control."
133,"Precision Medicine","AI-driven solutions for precision healthcare and personalized medicine.",NULL,"Healthcare","2024-06-21 08:00:00","2024-06-21 08:00:00",1,45,"precision medicine, AI healthcare solutions, personalized medicine","AI-driven Precision Medicine - Personalize Healthcare","Personalize healthcare with our AI-driven solutions for precision medicine and personalized healthcare."
134,"Smart Agriculture","AI-powered technologies for smart agriculture and sustainable farming solutions.",NULL,"Agriculture","2024-06-21 08:00:00","2024-06-21 08:00:00",1,46,"smart agriculture, AI farming technologies, sustainable farming","AI-powered Smart Agriculture - Optimize Farming Practices","Optimize farming practices with our AI-powered technologies for smart agriculture and sustainable farming solutions."
135,"Blockchain Solutions","AI-driven blockchain solutions for secure transactions and digital trust.",NULL,"Blockchain","2024-06-21 08:00:00","2024-06-21 08:00:00",1,47,"blockchain solutions, AI blockchain, secure transactions","AI-driven Blockchain Solutions - Ensure Digital Trust","Ensure digital trust with our AI-driven blockchain solutions for secure transactions and digital trust."
136,"Food Tech","AI-powered technologies for food innovation and sustainable food solutions.",NULL,"Food","2024-06-21 08:00:00","2024-06-21 08:00:00",1,48,"food tech, AI food innovations, sustainable food solutions","AI-powered Food Tech - Innovate Food Industry","Innovate the food industry with our AI-powered technologies for food innovation and sustainable food solutions."
137,"Real Estate Tech","AI-driven technologies for real estate management and property solutions.",NULL,"Real Estate","2024-06-21 08:00:00","2024-06-21 08:00:00",1,49,"real estate tech, AI real estate solutions, property management","AI-driven Real Estate Tech - Manage Properties Efficiently","Manage properties efficiently with our AI-driven technologies for real estate management and property solutions."
138,"Cloud Computing","AI-powered solutions for cloud computing and data management.",NULL,"Cloud Computing","2024-06-21 08:00:00","2024-06-21 08:00:00",1,50,"cloud computing, AI cloud solutions, data management","AI-powered Cloud Computing - Manage Data Effectively","Manage data effectively with our AI-powered solutions for cloud computing and data management."
139,"AI in Agriculture","AI applications in agriculture for precision farming and crop management.",NULL,"Agriculture","2024-06-21 08:00:00","2024-06-21 08:00:00",1,51,"AI in agriculture, precision farming, crop management","AI in Agriculture - Transform Farming Practices","Transform farming practices with AI applications in agriculture for precision farming and crop management."
140,"Healthcare AI","AI-driven innovations in healthcare for improved patient care and medical research.",NULL,"Healthcare","2024-06-21 08:00:00","2024-06-21 08:00:00",1,52,"healthcare AI, AI medical innovations, patient care","Healthcare AI - Revolutionize Medical Care","Revolutionize medical care with healthcare AI-driven innovations for improved patient care and medical research."
141,"Smart Manufacturing","AI-powered solutions for smart manufacturing and industrial automation.",NULL,"Manufacturing","2024-06-21 08:00:00","2024-06-21 08:00:00",1,53,"smart manufacturing, AI industrial automation, manufacturing solutions","AI-powered Smart Manufacturing - Enhance Production","Enhance production with AI-powered solutions for smart manufacturing and industrial automation."
142,"AI in Finance","AI applications in finance for data analytics and financial forecasting.",NULL,"Finance","2024-06-21 08:00:00","2024-06-21 08:00:00",1,54,"AI in finance, financial data analytics, financial forecasting","AI in Finance - Improve Financial Insights","Improve financial insights with AI applications in finance for data analytics and financial forecasting."
143,"Retail Tech","AI-driven technologies for retail analytics and consumer insights.",NULL,"Retail","2024-06-21 08:00:00","2024-06-21 08:00:00",1,55,"retail tech, AI retail analytics, consumer insights","AI-driven Retail Tech - Optimize Retail Operations","Optimize retail operations with AI-driven technologies for retail analytics and consumer insights."
144,"AI Chatbots","AI-powered chatbot solutions for customer service and interaction.",NULL,"Technology","2024-06-21 08:00:00","2024-06-21 08:00:00",1,56,"AI chatbots, chatbot solutions, customer service","AI Chatbots - Enhance Customer Interaction","Enhance customer interaction with AI-powered chatbot solutions for customer service and support."
145,"Education AI","AI applications in education for personalized learning and academic improvements.",NULL,"Education","2024-06-21 08:00:00","2024-06-21 08:00:00",1,57,"education AI, AI personalized learning, academic improvements","Education AI - Personalize Learning Experiences","Personalize learning experiences with AI applications in education for personalized learning and academic improvements."
146,"AI in Marketing","AI-driven solutions in marketing for data-driven campaigns and customer engagement.",NULL,"Marketing","2024-06-21 08:00:00","2024-06-21 08:00:00",1,58,"AI in marketing, marketing AI solutions, data-driven campaigns","AI in Marketing - Drive Customer Engagement","Drive customer engagement with AI-driven solutions in marketing for data-driven campaigns and customer insights."
147,"AI for Security","AI applications in security for threat detection and cybersecurity solutions.",NULL,"Cybersecurity","2024-06-21 08:00:00","2024-06-21 08:00:00",1,59,"AI for security, security AI, threat detection","AI for Security - Enhance Cybersecurity","Enhance cybersecurity with AI applications in security for threat detection and cybersecurity solutions."
148,"AI in Automotive","AI applications in automotive for autonomous vehicles and smart mobility solutions.",NULL,"Automotive","2024-06-21 08:00:00","2024-06-21 08:00:00",1,60,"AI in automotive, autonomous vehicles, smart mobility solutions","AI in Automotive - Revolutionize Mobility","Revolutionize mobility with AI applications in automotive for autonomous vehicles and smart mobility solutions."
149,"AI in Logistics","AI-driven solutions in logistics for supply chain optimization and management.",NULL,"Logistics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,61,"AI in logistics, logistics AI solutions, supply chain optimization","AI in Logistics - Optimize Supply Chain Management","Optimize supply chain management with AI-driven solutions in logistics for supply chain optimization and management."
150,"AI in Retail","AI applications in retail for personalized shopping experiences and inventory management.",NULL,"Retail","2024-06-21 08:00:00","2024-06-21 08:00:00",1,62,"AI in retail, retail AI solutions, personalized shopping","AI in Retail - Personalize Shopping Experiences","Personalize shopping experiences with AI applications in retail for personalized recommendations and inventory management."
151,"AI in Healthcare","AI applications in healthcare for diagnostics and patient care.",NULL,"Healthcare","2024-06-21 08:00:00","2024-06-21 08:00:00",1,63,"AI in healthcare, healthcare AI solutions, medical diagnostics","AI in Healthcare - Transform Diagnostics","Transform medical diagnostics with AI applications in healthcare for improved patient care and diagnostic accuracy."
152,"AI for Finance","AI-driven solutions for finance and investment management.",NULL,"Finance","2024-06-21 08:00:00","2024-06-21 08:00:00",1,64,"AI for finance, finance AI solutions, investment management","AI for Finance - Optimize Investment Strategies","Optimize investment strategies with AI-driven solutions for finance and investment management."
153,"AI in Manufacturing","AI applications in manufacturing for process automation and efficiency.",NULL,"Manufacturing","2024-06-21 08:00:00","2024-06-21 08:00:00",1,65,"AI in manufacturing, manufacturing AI solutions, process automation","AI in Manufacturing - Enhance Production Efficiency","Enhance production efficiency with AI applications in manufacturing for process automation and operational excellence."
154,"AI in Education","AI-driven technologies for educational enhancements and learning solutions.",NULL,"Education","2024-06-21 08:00:00","2024-06-21 08:00:00",1,66,"AI in education, education AI solutions, learning innovations","AI in Education - Revolutionize Learning Experiences","Revolutionize learning experiences with AI-driven technologies for educational enhancements and personalized learning solutions."
155,"AI in Retail","AI applications in retail for customer insights and retail analytics.",NULL,"Retail","2024-06-21 08:00:00","2024-06-21 08:00:00",1,67,"AI in retail, retail AI solutions, customer insights","AI in Retail - Enhance Customer Engagement","Enhance customer engagement with AI applications in retail for personalized shopping experiences and customer insights."
156,"AI in Real Estate","AI-driven solutions for real estate management and property insights.",NULL,"Real Estate","2024-06-21 08:00:00","2024-06-21 08:00:00",1,68,"AI in real estate, real estate AI solutions, property management","AI in Real Estate - Streamline Property Operations","Streamline property operations with AI-driven solutions for real estate management and property insights."
157,"AI in Transportation","AI applications in transportation for logistics optimization and smart mobility.",NULL,"Transportation","2024-06-21 08:00:00","2024-06-21 08:00:00",1,69,"AI in transportation, transportation AI solutions, logistics optimization","AI in Transportation - Optimize Logistics","Optimize logistics with AI applications in transportation for supply chain efficiency and smart mobility solutions."
158,"AI in Media","AI-driven technologies for media production and content creation.",NULL,"Media","2024-06-21 08:00:00","2024-06-21 08:00:00",1,70,"AI in media, media AI solutions, content creation","AI in Media - Revolutionize Content Production","Revolutionize content production with AI-driven technologies for media and entertainment."
159,"AI in Entertainment","AI applications in entertainment for immersive experiences and content recommendations.",NULL,"Entertainment","2024-06-21 08:00:00","2024-06-21 08:00:00",1,71,"AI in entertainment, entertainment AI solutions, immersive experiences","AI in Entertainment - Enhance Entertainment Experiences","Enhance entertainment experiences with AI applications for immersive content and personalized recommendations."
160,"AI in Hospitality","AI-driven solutions for hospitality management and guest experiences.",NULL,"Hospitality","2024-06-21 08:00:00","2024-06-21 08:00:00",1,72,"AI in hospitality, hospitality AI solutions, guest experiences","AI in Hospitality - Improve Guest Services","Improve guest services with AI-driven solutions for hospitality management and personalized guest experiences."
161,"AI in Energy","AI applications in energy for sustainable energy solutions and renewable energy.",NULL,"Energy","2024-06-21 08:00:00","2024-06-21 08:00:00",1,73,"AI in energy, energy AI solutions, sustainable energy","AI in Energy - Drive Sustainable Practices","Drive sustainable practices with AI applications in energy for renewable energy solutions and energy efficiency."
162,"AI in Agriculture","AI-driven technologies for agriculture and farming innovations.",NULL,"Agriculture","2024-06-21 08:00:00","2024-06-21 08:00:00",1,74,"AI in agriculture, agriculture AI solutions, farming innovations","AI in Agriculture - Transform Farming Practices","Transform farming practices with AI-driven technologies for agriculture and farming innovations."
163,"AI in Government","AI applications in government for public sector efficiency and citizen services.",NULL,"Government","2024-06-21 08:00:00","2024-06-21 08:00:00",1,75,"AI in government, government AI solutions, public sector efficiency","AI in Government - Enhance Public Services","Enhance public services with AI applications in government for efficiency and citizen-centric solutions."
164,"AI in Automotive","AI-driven technologies for automotive innovations and smart mobility solutions.",NULL,"Automotive","2024-06-21 08:00:00","2024-06-21 08:00:00",1,76,"AI in automotive, automotive AI solutions, smart mobility","AI in Automotive - Revolutionize Mobility","Revolutionize mobility with AI-driven technologies for automotive innovations and smart mobility solutions."
165,"AI in Logistics","AI applications in logistics for supply chain optimization and management.",NULL,"Logistics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,77,"AI in logistics, logistics AI solutions, supply chain optimization","AI in Logistics - Optimize Supply Chain Management","Optimize supply chain management with AI applications in logistics for supply chain optimization and management."
166,"AI in Retail","AI-driven solutions for retail analytics and customer insights.",NULL,"Retail","2024-06-21 08:00:00","2024-06-21 08:00:00",1,78,"AI in retail, retail AI solutions, customer insights","AI in Retail - Transform Retail Operations","Transform retail operations with AI-driven solutions for retail analytics and customer insights."
167,"AI in Security","AI applications in security for threat detection and cybersecurity solutions.",NULL,"Cybersecurity","2024-06-21 08:00:00","2024-06-21 08:00:00",1,79,"AI in security, security AI solutions, threat detection","AI in Security - Enhance Cybersecurity","Enhance cybersecurity with AI applications in security for threat detection and cybersecurity solutions."
168,"AI in Automotive","AI-driven technologies for automotive innovations and smart mobility solutions.",NULL,"Automotive","2024-06-21 08:00:00","2024-06-21 08:00:00",1,80,"AI in automotive, automotive AI solutions, smart mobility","AI in Automotive - Revolutionize Mobility","Revolutionize mobility with AI-driven technologies for automotive innovations and smart mobility solutions."
169,"AI in Logistics","AI applications in logistics for supply chain optimization and management.",NULL,"Logistics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,81,"AI in logistics, logistics AI solutions, supply chain optimization","AI in Logistics - Optimize Supply Chain Management","Optimize supply chain management with AI applications in logistics for supply chain optimization and management."
170,"AI in Retail","AI-driven solutions for retail analytics and customer insights.",NULL,"Retail","2024-06-21 08:00:00","2024-06-21 08:00:00",1,82,"AI in retail, retail AI solutions, customer insights","AI in Retail - Transform Retail Operations","Transform retail operations with AI-driven solutions for retail analytics and customer insights."
171,"AI in Security","AI applications in security for threat detection and cybersecurity solutions.",NULL,"Cybersecurity","2024-06-21 08:00:00","2024-06-21 08:00:00",1,83,"AI in security, security AI solutions, threat detection","AI in Security - Enhance Cybersecurity","Enhance cybersecurity with AI applications in security for threat detection and cybersecurity solutions."
172,"AI in Automotive","AI-driven technologies for automotive innovations and smart mobility solutions.",NULL,"Automotive","2024-06-21 08:00:00","2024-06-21 08:00:00",1,84,"AI in automotive, automotive AI solutions, smart mobility","AI in Automotive - Revolutionize Mobility","Revolutionize mobility with AI-driven technologies for automotive innovations and smart mobility solutions."
173,"AI in Logistics","AI applications in logistics for supply chain optimization and management.",NULL,"Logistics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,85,"AI in logistics, logistics AI solutions, supply chain optimization","AI in Logistics - Optimize Supply Chain Management","Optimize supply chain management with AI applications in logistics for supply chain optimization and management."
174,"AI in Retail","AI-driven solutions for retail analytics and customer insights.",NULL,"Retail","2024-06-21 08:00:00","2024-06-21 08:00:00",1,86,"AI in retail, retail AI solutions, customer insights","AI in Retail - Transform Retail Operations","Transform retail operations with AI-driven solutions for retail analytics and customer insights."
175,"AI in Security","AI applications in security for threat detection and cybersecurity solutions.",NULL,"Cybersecurity","2024-06-21 08:00:00","2024-06-21 08:00:00",1,87,"AI in security, security AI solutions, threat detection","AI in Security - Enhance Cybersecurity","Enhance cybersecurity with AI applications in security for threat detection and cybersecurity solutions."
176,"AI in Automotive","AI-driven technologies for automotive innovations and smart mobility solutions.",NULL,"Automotive","2024-06-21 08:00:00","2024-06-21 08:00:00",1,88,"AI in automotive, automotive AI solutions, smart mobility","AI in Automotive - Revolutionize Mobility","Revolutionize mobility with AI-driven technologies for automotive innovations and smart mobility solutions."
177,"AI in Logistics","AI applications in logistics for supply chain optimization and management.",NULL,"Logistics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,89,"AI in logistics, logistics AI solutions, supply chain optimization","AI in Logistics - Optimize Supply Chain Management","Optimize supply chain management with AI applications in logistics for supply chain optimization and management."
178,"AI in Retail","AI-driven solutions for retail analytics and customer insights.",NULL,"Retail","2024-06-21 08:00:00","2024-06-21 08:00:00",1,90,"AI in retail, retail AI solutions, customer insights","AI in Retail - Transform Retail Operations","Transform retail operations with AI-driven solutions for retail analytics and customer insights."
179,"AI in Security","AI applications in security for threat detection and cybersecurity solutions.",NULL,"Cybersecurity","2024-06-21 08:00:00","2024-06-21 08:00:00",1,91,"AI in security, security AI solutions, threat detection","AI in Security - Enhance Cybersecurity","Enhance cybersecurity with AI applications in security for threat detection and cybersecurity solutions."
180,"AI in Automotive","AI-driven technologies for automotive innovations and smart mobility solutions.",NULL,"Automotive","2024-06-21 08:00:00","2024-06-21 08:00:00",1,92,"AI in automotive, automotive AI solutions, smart mobility","AI in Automotive - Revolutionize Mobility","Revolutionize mobility with AI-driven technologies for automotive innovations and smart mobility solutions."
181,"AI in Logistics","AI applications in logistics for supply chain optimization and management.",NULL,"Logistics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,93,"AI in logistics, logistics AI solutions, supply chain optimization","AI in Logistics - Optimize Supply Chain Management","Optimize supply chain management with AI applications in logistics for supply chain optimization and management."
182,"AI in Retail","AI-driven solutions for retail analytics and customer insights.",NULL,"Retail","2024-06-21 08:00:00","2024-06-21 08:00:00",1,94,"AI in retail, retail AI solutions, customer insights","AI in Retail - Transform Retail Operations","Transform retail operations with AI-driven solutions for retail analytics and customer insights."
183,"AI in Security","AI applications in security for threat detection and cybersecurity solutions.",NULL,"Cybersecurity","2024-06-21 08:00:00","2024-06-21 08:00:00",1,95,"AI in security, security AI solutions, threat detection","AI in Security - Enhance Cybersecurity","Enhance cybersecurity with AI applications in security for threat detection and cybersecurity solutions."
184,"AI in Automotive","AI-driven technologies for automotive innovations and smart mobility solutions.",NULL,"Automotive","2024-06-21 08:00:00","2024-06-21 08:00:00",1,96,"AI in automotive, automotive AI solutions, smart mobility","AI in Automotive - Revolutionize Mobility","Revolutionize mobility with AI-driven technologies for automotive innovations and smart mobility solutions."
185,"AI in Logistics","AI applications in logistics for supply chain optimization and management.",NULL,"Logistics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,97,"AI in logistics, logistics AI solutions, supply chain optimization","AI in Logistics - Optimize Supply Chain Management","Optimize supply chain management with AI applications in logistics for supply chain optimization and management."
186,"AI in Retail","AI-driven solutions for retail analytics and customer insights.",NULL,"Retail","2024-06-21 08:00:00","2024-06-21 08:00:00",1,98,"AI in retail, retail AI solutions, customer insights","AI in Retail - Transform Retail Operations","Transform retail operations with AI-driven solutions for retail analytics and customer insights."
187,"AI in Security","AI applications in security for threat detection and cybersecurity solutions.",NULL,"Cybersecurity","2024-06-21 08:00:00","2024-06-21 08:00:00",1,99,"AI in security, security AI solutions, threat detection","AI in Security - Enhance Cybersecurity","Enhance cybersecurity with AI applications in security for threat detection and cybersecurity solutions."
188,"AI in Automotive","AI-driven technologies for automotive innovations and smart mobility solutions.",NULL,"Automotive","2024-06-21 08:00:00","2024-06-21 08:00:00",1,100,"AI in automotive, automotive AI solutions, smart mobility","AI in Automotive - Revolutionize Mobility","Revolutionize mobility with AI-driven technologies for automotive innovations and smart mobility solutions."
189,"AI in Logistics","AI applications in logistics for supply chain optimization and management.",NULL,"Logistics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,101,"AI in logistics, logistics AI solutions, supply chain optimization","AI in Logistics - Optimize Supply Chain Management","Optimize supply chain management with AI applications in logistics for supply chain optimization and management."
190,"AI in Retail","AI-driven solutions for retail analytics and customer insights.",NULL,"Retail","2024-06-21 08:00:00","2024-06-21 08:00:00",1,102,"AI in retail, retail AI solutions, customer insights","AI in Retail - Transform Retail Operations","Transform retail operations with AI-driven solutions for retail analytics and customer insights."
191,"AI in Security","AI applications in security for threat detection and cybersecurity solutions.",NULL,"Cybersecurity","2024-06-21 08:00:00","2024-06-21 08:00:00",1,103,"AI in security, security AI solutions, threat detection","AI in Security - Enhance Cybersecurity","Enhance cybersecurity with AI applications in security for threat detection and cybersecurity solutions."
192,"AI in Automotive","AI-driven technologies for automotive innovations and smart mobility solutions.",NULL,"Automotive","2024-06-21 08:00:00","2024-06-21 08:00:00",1,104,"AI in automotive, automotive AI solutions, smart mobility","AI in Automotive - Revolutionize Mobility","Revolutionize mobility with AI-driven technologies for automotive innovations and smart mobility solutions."
193,"AI in Logistics","AI applications in logistics for supply chain optimization and management.",NULL,"Logistics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,105,"AI in logistics, logistics AI solutions, supply chain optimization","AI in Logistics
194,"Wireless Speakers","Bluetooth and Wi-Fi speakers for wireless audio streaming.",NULL,"Consumer Electronics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,106,"wireless speakers, bluetooth speakers, wi-fi speakers","Wireless Speakers - Stream Music Wirelessly","Stream music wirelessly with Bluetooth and Wi-Fi speakers for immersive audio experiences."
195,"Smart TVs","Internet-enabled televisions with integrated streaming services and smart features.",NULL,"Consumer Electronics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,107,"smart TVs, internet TVs, streaming televisions","Smart TVs - Enhance Your Viewing Experience","Enhance your viewing experience with internet-enabled televisions and smart TVs with integrated streaming services."
196,"Action Cameras","Compact cameras for capturing action-packed moments and adventures.",NULL,"Consumer Electronics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,108,"action cameras, sports cameras, adventure cameras","Action Cameras - Capture Every Adventure","Capture every adventure with compact action cameras designed for action-packed moments."
197,"VR Headsets","Virtual reality headsets for immersive gaming and interactive experiences.",NULL,"Consumer Electronics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,109,"VR headsets, virtual reality headsets, VR devices","VR Headsets - Explore Virtual Worlds","Explore virtual worlds with advanced virtual reality headsets for immersive gaming and interactive experiences."
198,"Printers","Office and home printers for document printing and digital imaging solutions.",NULL,"Consumer Electronics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,110,"printers, office printers, home printers","Printers - Print with Precision and Efficiency","Print with precision and efficiency using office and home printers for document printing and digital imaging solutions."
199,"Computer Monitors","High-resolution monitors for gaming, design, and professional applications.",NULL,"Consumer Electronics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,111,"computer monitors, gaming monitors, professional monitors","Computer Monitors - Enhance Your Viewing Experience","Enhance your viewing experience with high-resolution monitors for gaming, design, and professional applications."
200,"Tablets","Portable tablets for productivity, entertainment, and mobile computing.",NULL,"Consumer Electronics","2024-06-21 08:00:00","2024-06-21 08:00:00",1,112,"tablets, portable tablets, tablet computers","Tablets - Power and Portability in Your Hands","Experience power and portability with portable tablets for productivity, entertainment, and mobile computing."
